time,lat,lon,elevation,accuracy,bearing,speed
2014-10-26T08:50:14Z,12.824914,74.617521,-76.000000,28.000000,345.500000,3.750000
2014-10-26T08:51:20Z,12.827125,74.617052,-89.000000,11.000000,5.100000,3.500000
2014-10-26T08:52:25Z,12.829242,74.616793,-110.000000,13.000000,316.500000,3.500000
2014-10-26T08:54:55Z,12.833801,74.617184,-158.000000,15.000000,0.900000,4.250000
2014-10-26T08:57:26Z,12.838278,74.617516,-77.000000,21.000000,354.899994,3.535534
2014-10-26T08:58:35Z,12.840309,74.617485,-102.000000,15.000000,20.100000,3.535534
2014-10-26T08:59:38Z,12.842130,74.617373,-86.000000,8.000000,5.200000,3.400368
2014-10-26T09:01:03Z,12.844447,74.618019,-81.000000,5.000000,10.000000,4.272002
2014-10-26T09:02:10Z,12.846387,74.618722,-90.000000,5.000000,26.299999,3.250000
2014-10-26T09:03:15Z,12.847964,74.619441,-85.000000,5.000000,19.799999,3.783186
2014-10-26T09:04:21Z,12.849433,74.620000,-99.000000,6.000000,11.600000,1.346291
2014-10-26T09:05:24Z,12.850369,74.620271,-114.000000,8.000000,25.000000,1.952562
2014-10-26T09:06:27Z,12.851583,74.620256,-100.000000,7.000000,292.600006,1.346291
2014-10-26T09:07:41Z,12.853316,74.621195,-73.000000,6.000000,24.500000,2.795085
2014-10-26T09:08:47Z,12.854962,74.621813,-103.000000,12.000000,36.799999,3.041381
2014-10-26T09:09:52Z,12.856525,74.622259,-95.000000,9.000000,14.800000,2.061553
2014-10-26T09:10:57Z,12.857939,74.622850,-80.000000,8.000000,47.000000,3.041381
2014-10-26T09:12:00Z,12.859743,74.623766,-97.000000,9.000000,22.500000,3.881044
2014-10-26T09:13:16Z,12.861818,74.625004,-86.000000,7.000000,30.600000,3.363406
2014-10-26T09:14:21Z,12.863792,74.625846,-73.000000,5.000000,25.500000,3.535534
2014-10-26T09:15:26Z,12.865719,74.626551,-82.000000,11.000000,11.400000,3.535534
2014-10-26T09:16:31Z,12.867368,74.627387,-106.000000,12.000000,350.799988,3.162278
2014-10-26T09:17:36Z,12.869247,74.628352,-99.000000,5.000000,26.600000,3.783186
2014-10-26T09:18:39Z,12.871218,74.629117,-104.000000,16.000000,23.400000,4.100305
2014-10-26T09:20:10Z,12.873907,74.630169,-64.000000,11.000000,23.299999,3.535534
2014-10-26T09:21:14Z,12.875644,74.630768,-93.000000,11.000000,17.799999,3.288237
2014-10-26T09:22:19Z,12.877564,74.631620,-82.000000,8.000000,27.600000,2.500000
2014-10-26T09:23:22Z,12.879370,74.632170,-65.000000,21.000000,33.000000,2.926175
2014-10-26T09:24:26Z,12.881113,74.633416,-82.000000,10.000000,38.500000,3.716517
2014-10-26T09:25:34Z,12.883034,74.634149,-69.000000,13.000000,25.600000,3.250000
2014-10-26T09:26:37Z,12.884780,74.634873,-83.000000,13.000000,11.600000,4.609772
2014-10-26T09:27:46Z,12.886842,74.635502,-76.000000,5.000000,19.600000,3.535534
2014-10-26T09:28:50Z,12.887706,74.637208,-89.000000,17.000000,44.299999,4.031129
2014-10-26T09:30:02Z,12.888151,74.639116,-78.000000,10.000000,81.599998,3.250000
2014-10-26T09:31:07Z,12.888871,74.640867,-63.000000,23.000000,69.599998,3.250000
2014-10-26T09:32:11Z,12.888960,74.642753,-64.000000,12.000000,95.699997,3.500000
2014-10-26T09:33:15Z,12.888815,74.644515,-74.000000,9.000000,97.199997,3.000000
2014-10-26T09:34:19Z,12.888805,74.646430,-89.000000,10.000000,62.000000,3.250000
2014-10-26T09:35:23Z,12.889629,74.647335,-49.000000,10.000000,336.399994,2.061553
2014-10-26T09:36:31Z,12.890740,74.646613,-74.000000,5.000000,320.100006,1.581139
2014-10-26T09:37:34Z,12.891481,74.646738,-79.000000,5.000000,1.200000,2.061553
2014-10-26T09:39:20Z,12.891168,74.646427,-84.000000,6.000000,203.399994,0.750000
2014-10-26T09:40:28Z,12.891319,74.646112,-84.000000,13.000000,2.300000,1.000000
2014-10-26T09:42:10Z,12.892241,74.646183,-51.000000,13.000000,305.899994,2.000000
2014-10-26T09:43:15Z,12.891873,74.645729,-81.000000,4.000000,197.899994,1.346291
2014-10-26T09:45:03Z,12.891258,74.646471,-73.000000,9.000000,96.099998,3.000000
2014-10-26T09:46:07Z,12.891169,74.648294,-46.000000,9.000000,88.000000,3.250000
2014-10-26T09:47:11Z,12.890623,74.650165,-58.000000,11.000000,127.400002,4.250000
2014-10-26T09:48:13Z,12.890352,74.651970,-80.000000,4.000000,99.500000,4.038874
2014-10-26T09:49:18Z,12.890073,74.653582,-78.000000,9.000000,85.500000,2.015564
2014-10-26T09:50:26Z,12.890069,74.654640,-74.000000,10.000000,112.900002,2.500000
2014-10-26T09:51:33Z,12.889679,74.655741,-63.000000,17.000000,118.400002,3.132491
2014-10-26T09:54:12Z,12.888698,74.660400,-89.000000,8.000000,101.900002,2.795085
2014-10-26T09:55:17Z,12.888414,74.662291,-99.000000,8.000000,97.900002,3.807887
2014-10-26T09:56:23Z,12.888325,74.664241,-83.000000,6.000000,95.500000,3.807887
2014-10-26T09:57:29Z,12.888028,74.666281,-91.000000,6.000000,102.300003,3.041381
2014-10-26T09:58:33Z,12.887855,74.668220,-82.000000,8.000000,92.500000,3.500000
2014-10-26T10:00:05Z,12.887617,74.671081,-75.000000,4.000000,89.099998,3.750000
2014-10-26T10:01:11Z,12.887422,74.673048,-68.000000,5.000000,84.500000,3.000000
2014-10-26T10:02:22Z,12.887013,74.675050,-90.000000,7.000000,95.900002,3.000000
2014-10-26T10:03:27Z,12.886909,74.677063,-126.000000,9.000000,106.500000,3.400368
2014-10-26T10:04:32Z,12.886500,74.678928,-62.000000,6.000000,90.699997,3.535534
2014-10-26T10:05:40Z,12.886152,74.680772,-78.000000,24.000000,103.099998,3.250000
2014-10-26T10:07:16Z,12.885551,74.683557,-92.000000,8.000000,104.599998,3.288237
2014-10-26T10:08:45Z,12.885158,74.686125,-75.000000,8.000000,108.099998,3.162278
2014-10-26T10:09:49Z,12.884752,74.687749,-100.000000,9.000000,90.699997,3.000000
2014-10-26T10:10:54Z,12.884331,74.689540,-78.000000,8.000000,77.199997,1.952562
2014-10-26T10:11:57Z,12.883762,74.691102,-57.000000,14.000000,86.599998,6.823672
2014-10-26T10:13:00Z,12.883322,74.692829,-86.000000,11.000000,97.199997,2.304886
2014-10-26T10:14:03Z,12.882739,74.694513,-80.000000,6.000000,94.000000,3.400368
2014-10-26T10:15:06Z,12.882430,74.696203,-82.000000,4.000000,104.300003,3.250000
2014-10-26T10:16:21Z,12.881869,74.698279,-66.000000,9.000000,81.500000,4.272002
2014-10-26T10:17:25Z,12.881422,74.699833,-76.000000,9.000000,79.599998,6.269968
2014-10-26T10:18:54Z,12.880697,74.702184,-49.000000,11.000000,115.599998,3.162278
2014-10-26T10:20:14Z,12.879758,74.704309,-71.000000,11.000000,189.199997,9.154917
2014-10-26T10:21:19Z,12.879302,74.706086,-76.000000,11.000000,99.500000,3.288237
2014-10-26T10:22:25Z,12.878791,74.707682,-62.000000,23.000000,122.599998,3.041381
2014-10-26T10:23:34Z,12.877986,74.709467,-113.000000,7.000000,131.600006,3.579455
2014-10-26T10:24:36Z,12.877539,74.711069,-112.000000,8.000000,140.399994,4.743416
2014-10-26T10:26:17Z,12.876640,74.713800,-64.000000,8.000000,110.599998,3.041381
2014-10-26T10:27:26Z,12.876142,74.715684,-113.000000,10.000000,107.199997,3.288237
2014-10-26T10:28:35Z,12.875668,74.717351,-61.000000,16.000000,103.500000,3.288237
2014-10-26T10:29:39Z,12.875155,74.719275,-60.000000,10.000000,110.599998,3.354102
2014-10-26T10:31:20Z,12.874370,74.721891,-57.000000,6.000000,102.699997,3.250000
2014-10-26T10:32:26Z,12.874056,74.723664,-83.000000,6.000000,105.900002,3.162278
2014-10-26T10:33:52Z,12.873519,74.726031,-86.000000,10.000000,76.500000,3.400368
2014-10-26T10:38:40Z,12.871774,74.734086,-82.000000,10.000000,101.599998,2.926175
2014-10-26T10:39:45Z,12.871565,74.736036,-90.000000,8.000000,94.699997,3.041381
2014-10-26T10:40:48Z,12.871397,74.737907,-85.000000,8.000000,77.400002,3.579455
2014-10-26T10:42:09Z,12.871153,74.740221,-90.000000,15.000000,106.599998,3.354102
2014-10-26T10:43:20Z,12.870657,74.742246,-60.000000,6.000000,101.599998,3.400368
2014-10-26T10:44:47Z,12.870281,74.744587,-91.000000,7.000000,104.699997,2.358495
2014-10-26T10:46:19Z,12.869691,74.747122,-72.000000,6.000000,100.099998,3.041381
2014-10-26T10:47:22Z,12.869237,74.748838,-82.000000,5.000000,117.900002,3.288237
2014-10-26T10:48:52Z,12.868550,74.751195,-98.000000,12.000000,115.000000,3.288237
2014-10-26T10:50:13Z,12.867872,74.753462,-86.000000,4.000000,114.800003,2.795085
2014-10-26T10:51:18Z,12.867288,74.755120,-75.000000,6.000000,125.800003,2.750000
2014-10-26T10:52:22Z,12.866605,74.756872,-64.000000,4.000000,116.000000,3.400368
2014-10-26T10:53:27Z,12.865755,74.758379,-90.000000,9.000000,115.300003,3.162278
2014-10-26T10:54:48Z,12.864954,74.760400,-106.000000,8.000000,119.199997,2.549510
2014-10-26T10:55:52Z,12.864203,74.761919,-72.000000,7.000000,117.800003,3.500000
2014-10-26T10:57:14Z,12.863020,74.763576,-86.000000,8.000000,118.699997,3.041381
2014-10-26T10:58:18Z,12.862414,74.765314,-76.000000,4.000000,133.600006,2.750000
2014-10-26T11:00:03Z,12.861130,74.767867,-64.000000,6.000000,101.000000,3.640055
2014-10-26T11:01:19Z,12.860219,74.769479,-63.000000,6.000000,155.899994,2.500000
2014-10-26T11:02:23Z,12.859010,74.770912,-94.000000,15.000000,131.399994,3.400368
2014-10-26T11:03:54Z,12.857254,74.772509,-70.000000,6.000000,115.900002,3.041381
2014-10-26T11:05:32Z,12.856074,74.774893,-89.000000,10.000000,116.199997,3.041381
2014-10-26T11:06:37Z,12.855333,74.776318,-95.000000,21.000000,110.300003,3.000000
2014-10-26T11:07:43Z,12.854610,74.778152,-86.000000,11.000000,120.699997,3.250000
2014-10-26T11:08:49Z,12.853763,74.779675,-92.000000,22.000000,122.099998,3.041381
2014-10-26T11:09:55Z,12.852812,74.781355,-54.000000,6.000000,137.300003,3.000000
2014-10-26T11:11:00Z,12.851943,74.782741,-66.000000,14.000000,107.500000,3.000000
2014-10-26T11:12:11Z,12.851313,74.784472,-81.000000,14.000000,127.400002,2.795085
2014-10-26T11:13:22Z,12.850678,74.786628,-24.000000,11.000000,119.699997,3.354102
2014-10-26T11:14:28Z,12.850224,74.788928,-8.000000,17.000000,0.000000,0.000000
2014-10-26T11:15:33Z,12.849368,74.789504,-140.000000,26.000000,114.400002,2.750000
2014-10-26T11:16:38Z,12.849027,74.791410,-64.000000,5.000000,116.400002,3.816084
2014-10-26T11:17:50Z,12.848299,74.793251,-76.000000,19.000000,109.400002,3.354102
2014-10-26T11:18:55Z,12.847949,74.794941,-81.000000,19.000000,106.099998,4.031129
2014-10-26T11:20:15Z,12.847591,74.797195,-59.000000,15.000000,99.699997,3.000000
2014-10-26T11:21:33Z,12.847069,74.799062,-94.000000,6.000000,110.199997,3.041381
2014-10-26T11:22:39Z,12.846780,74.800817,-50.000000,11.000000,105.900002,3.250000
2014-10-26T11:23:44Z,12.846659,74.802572,-84.000000,8.000000,87.900002,2.926175
2014-10-26T11:24:53Z,12.846243,74.804239,-93.000000,15.000000,93.800003,3.000000
2014-10-26T11:26:24Z,12.846285,74.806776,-74.000000,17.000000,99.300003,2.750000
2014-10-26T11:27:26Z,12.846100,74.808384,-80.000000,8.000000,84.599998,2.549510
2014-10-26T11:28:33Z,12.846030,74.810005,-80.000000,12.000000,93.099998,3.000000
2014-10-26T11:29:37Z,12.845715,74.811682,-75.000000,13.000000,96.800003,3.041381
2014-10-26T11:33:06Z,12.845418,74.816882,-77.000000,6.000000,82.400002,2.750000
2014-10-26T11:34:10Z,12.845631,74.818413,-79.000000,12.000000,125.000000,3.605551
2014-10-26T11:35:18Z,12.846059,74.820029,-83.000000,8.000000,93.300003,3.535534
2014-10-26T11:36:25Z,12.846021,74.821650,-85.000000,11.000000,107.800003,2.304886
2014-10-26T11:37:35Z,12.845894,74.823173,-83.000000,13.000000,96.599998,2.250000
2014-10-26T11:38:43Z,12.845565,74.824625,-91.000000,8.000000,116.199997,3.535534
2014-10-26T11:39:49Z,12.845367,74.826295,-84.000000,9.000000,98.199997,3.041381
2014-10-26T11:41:28Z,12.845764,74.828903,-86.000000,4.000000,51.200001,2.915476
2014-10-26T11:42:35Z,12.847203,74.829849,-74.000000,7.000000,26.400000,3.288237
2014-10-26T11:43:41Z,12.848731,74.830293,-91.000000,5.000000,359.100006,3.000000
2014-10-26T11:44:49Z,12.850602,74.830396,-87.000000,9.000000,0.700000,3.000000
2014-10-26T11:45:51Z,12.852162,74.830681,-81.000000,8.000000,16.900000,4.279311
2014-10-26T11:46:54Z,12.853711,74.830988,-81.000000,4.000000,8.900000,2.704164
2014-10-26T11:47:55Z,12.854986,74.831107,-78.000000,4.000000,358.799988,1.820027
